10 45
1 2 39.726
1 3 260.439
1 4 864.808
1 5 374.317
1 6 461.642
1 7 859.128
1 8 144.281
1 9 558.936
1 10 954.311
2 3 1.694
2 4 997.922
2 5 677.931
2 6 476.324
2 7 910.242
2 8 735.31
2 9 449.59
2 10 841.605
3 4 924.258
3 5 635.629
3 6 469.867
3 7 563.884
3 8 252.904
3 9 629.604
3 10 225.142
4 5 586.083
4 6 637.433
4 7 292.518
4 8 413.66
4 9 342.183
4 10 334.283
5 6 137.15
5 7 955.103
5 8 674.412
5 9 362.883
5 10 604.796
6 7 112.226
6 8 688.719
6 9 276.957
6 10 750.402
7 8 900.022
7 9 690.155
7 10 831.527
8 9 240.19
8 10 807.965
9 10 27.345
